id,labels,properties,depth,number,new,old_number
38,Intervention,,1,6954,0,Nan
39,Intervention,description:name:type,2,6949,0,Nan
40,Intervention,name:type,2,5,0,Nan
41,Link,,1,781,0,Nan
42,PF4_SemSpect_neo4j_2022-02-25T11:14:28.910015:Gene,,1,4,0,Nan
43,MASYMOS_SEDML_DATAGENERATOR,,1,491,0,Nan
44,Transcript,,1,1017012,0,Nan
45,Transcript,sid:source:?length:?status:?taxid:?version,2,655154,0,Nan
46,Transcript,sid:source:?taxid,3,419000,0,Nan
47,Transcript,length:sid:source:status:taxid:version,3,234000,0,Nan
48,Legacy:Transcript,reason:removed_in:sid:source:status:taxid:version:?length,2,361858,0,Nan
49,Legacy:Transcript,reason:removed_in:sid:source:status:taxid:version,3,360863,0,Nan
50,Legacy:Transcript,length:reason:removed_in:sid:source:status:taxid:version,3,995,0,Nan
51,Facility,,1,13524,0,Nan
52,Start,,1,551,0,Nan
53,MASYMOS_KISAOOntology,,1,45,0,Nan
54,NamedEntity,,1,67971,0,Nan
55,NamedEntity,id:type:value,2,56500,0,Nan
56,NamedEntity,external_ids:id:type:value,2,11300,0,Nan
57,MASYMOS_SBML_SPECIES,,1,18595,0,Nan
58,Gene,,1,716689,0,Nan
59,Gene:?ACE2_SemSpect_neo4j_2022-02-25T11:14:25.566134:?Gene mentioned in patent description_SemSpect_neo4j_2022-02-25T11:14:25.578116:?Legacy:?OmitLength:?OmitSpecialChar:?OmitWord:?PF4_SemSpect_neo4j_2022-02-25T11:14:28.910015,sid:source:?date:?name:?status:?symbol:?taxid:?type,2,608661,0,Nan
60,Gene:?ACE2_SemSpect_neo4j_2022-02-25T11:14:25.566134:?Gene mentioned in patent description_SemSpect_neo4j_2022-02-25T11:14:25.578116:?Legacy:?OmitLength:?OmitSpecialChar:?OmitWord:?PF4_SemSpect_neo4j_2022-02-25T11:14:28.910015,sid:source:taxid:?date:?status:?symbol:?type,3,371747,0,Nan
61,Gene,sid:source:status:taxid:type,4,104077,0,Nan
62,Gene,sid:source:?name:?taxid:?type,3,236914,0,Nan
63,Gene,sid:source,4,42700,0,Nan
64,Gene,sid:source:taxid:?name:?type,4,194000,0,Nan
65,Gene,sid:source:taxid:type,5,97400,0,Nan
66,Gene,name:sid:source:taxid,5,96600,0,Nan
67,Gene,Feature_type:Full_name_from_nomenclature_authority:GeneID:LocusTag:Modification_date:Nomenclature_status:Other_designations:Symbol:Symbol_from_nomenclature_authority:Synonyms:chromosome:dbXrefs:description:map_location:sid:source:tax_id:taxid:type_of_gene:?status:?type,2,108028,0,Nan
68,Gender,,1,4964,0,Nan
69,Gender,name,2,4887,0,Nan
70,Gender,description:name,2,77,0,Nan
71,MASYMOS_MODEL:MASYMOS_SBML_MODEL,,1,821,0,Nan
72,Legacy:Gene,,1,242633,0,Nan
73,Gene:Legacy,date:sid:source:symbol:taxid,2,242423,0,Nan
74,Gene:Legacy,date:sid:source:status:symbol:taxid:type,2,210,0,Nan
75,AuthorCollection,,1,102130,0,Nan
76,Purpose,,1,7,0,Nan
77,Term,,1,74408,0,Nan
78,Term,alt_ids:definition:name:obsolete:sid,2,29820,0,Nan
79,Term,alt_ids:name:obsolete:sid:?definition:?namespace,2,44580,0,Nan
80,Term,alt_ids:definition:name:namespace:obsolete:sid,3,37710,0,Nan
81,Term,alt_ids:name:obsolete:sid,3,6870,0,Nan
82,MASYMOS_SEDML_SIMULATION,,1,28,0,Nan
83,Word,,1,307346,0,Nan
84,Word,match3:match4:match5:match6:match7:value:?match10:?match11:?match12:?match8:?match9,2,114400,0,Nan
85,Word,match3:match4:match5:match6:match7:value:?match8:?match9,3,66500,0,Nan
86,Word,match3:match4:match5:match6:match7:value:?match8,4,47400,0,Nan
87,Word,match3:match4:match5:match6:match7:value,5,26100,0,Nan
88,Word,match3:match4:match5:match6:match7:match8:value,5,21300,0,Nan
89,Word,match3:match4:match5:match6:match7:match8:match9:value,4,19100,0,Nan
90,Word,match10:match3:match4:match5:match6:match7:match8:match9:value:?match11:?match12,3,47900,0,Nan
91,Word,match10:match3:match4:match5:match6:match7:match8:match9:value,4,13700,0,Nan
92,Word,match10:match11:match3:match4:match5:match6:match7:match8:match9:value:?match12,4,34200,0,Nan
93,Word,match10:match11:match12:match3:match4:match5:match6:match7:match8:match9:value,5,21300,0,Nan
94,Word,match10:match11:match3:match4:match5:match6:match7:match8:match9:value,5,12900,0,Nan
95,Word,match3:value:?match4:?match5:?match6,2,192400,0,Nan
96,Word,match3:match4:value:?match5:?match6,3,116100,0,Nan
97,Word,match3:match4:value:?match5,4,86300,0,Nan
98,Word,match3:match4:value,5,48800,0,Nan
99,Word,match3:match4:match5:value,5,37500,0,Nan
100,Word,match3:match4:match5:match6:value,4,29800,0,Nan
101,Word,match3:value,3,76300,0,Nan
102,Patent,,1,25735,0,Nan
103,Patent,_hash_id:filing_date:filing_key:jurisdiction:lens_id:lens_url:pub_date:pub_key:type,2,25301,0,Nan
104,Patent,_hash_id:filing_key:jurisdiction:lens_id:lens_url:pub_key:type:?filing_date:?pub_date,2,434,0,Nan
105,Patent,_hash_id:filing_key:jurisdiction:lens_id:lens_url:pub_key:type,3,120,0,Nan
106,MASYMOS_DOCUMENT,,1,852,0,Nan
107,MASYMOS_DOCUMENT,FILENAME:LEVEL:UID:URI:VERSION:VERSIONID,2,822,0,Nan
108,MASYMOS_DOCUMENT,FILENAME:UID:URI:VERSIONID,2,30,0,Nan
109,PaperID,,1,430891,0,Nan
110,OmitSpecialChar:Gene,,1,1850,0,Nan
111,Gene:OmitSpecialChar,sid:source:status:taxid:type,2,1398,0,Nan
112,Gene:OmitSpecialChar,sid:source:taxid:type,2,452,0,Nan
113,Investigator,,1,1811,0,Nan
114,MASYMOS_SBML_EVENT,,1,347,0,Nan
115,Legacy:Protein,,1,226098,0,Nan
116,Legacy:Protein,reason:removed_in:sid:source:status:taxid:version,2,225151,0,Nan
117,Legacy:Protein,length:reason:removed_in:sid:source:status:taxid:version,2,947,0,Nan
118,DailyReport:Latest,,1,765,0,Nan
119,OmitLength:Gene,,1,44,0,Nan
120,Gene:OmitLength,sid:source:status:taxid:type,2,39,0,Nan
121,Gene:OmitLength:?OmitWord,sid:source:taxid:type:?status,2,5,0,Nan
122,Gene:OmitLength,sid:source:taxid:type,3,1,0,Nan
123,Description,,1,4965,0,Nan
124,Description,description:summary,2,2170,0,Nan
125,Description,summary,2,2780,0,Nan
126,Protein,,1,847394,0,Nan
127,Protein:?Legacy,sid:source:status:taxid:version:?length:?reason:?removed_in,2,392143,0,Nan
128,Legacy:Protein,reason:removed_in:sid:source:status:taxid:version:?length,3,226098,0,Nan
129,Protein,length:sid:source:status:taxid:version,3,166045,0,Nan
130,Protein,sid:source:taxid:?category:?desc:?name,2,455251,0,Nan
131,Protein,sid:source:taxid,3,146000,0,Nan
132,Protein,category:sid:source:taxid:?desc:?name,3,309100,0,Nan
133,Protein,category:sid:source:taxid,4,82700,0,Nan
134,Protein,category:desc:name:sid:source:taxid,4,226400,0,Nan
135,PaperId,,1,6465,0,Nan
136,MASYMOS_SEDML_CURVE,,1,196,0,Nan
137,MASYMOS_SEDML_CURVE,XDATA,2,193,0,Nan
138,MASYMOS_SEDML_CURVE,,2,3,0,Nan
139,PatentTitle,,1,25722,0,Nan
140,PF4_SemSpect_neo4j_2022-02-25T11:14:28.910015:Gene mentioned in patent description_SemSpect_neo4j_2022-02-25T11:14:25.578116:Gene,,1,2,0,Nan
141,Condition,,1,2436,0,Nan
142,Gene mentioned in patent description_SemSpect_neo4j_2022-02-25T11:14:25.578116:Gene,,1,20756,0,Nan
143,Gene:Gene mentioned in patent description_SemSpect_neo4j_2022-02-25T11:14:25.578116:?ACE2_SemSpect_neo4j_2022-02-25T11:14:25.566134:?PF4_SemSpect_neo4j_2022-02-25T11:14:28.910015,sid:source:taxid:type,2,8708,0,Nan
144,Gene:Gene mentioned in patent description_SemSpect_neo4j_2022-02-25T11:14:25.578116,sid:source:taxid:type,3,8705,0,Nan
145,Gene:Gene mentioned in patent description_SemSpect_neo4j_2022-02-25T11:14:25.578116,sid:source:status:taxid:type,2,12048,0,Nan
146,ReferenceCollection,,1,46457,0,Nan
147,MASYMOS_SEDML_OUTPUT,,1,52,0,Nan
148,InclusionCriteria,,1,4870,0,Nan
149,Responsible,,1,3,0,Nan
150,AgeGroup,,1,14,0,Nan
151,DailyReport,,1,234249,0,Nan
152,DailyReport,confirmed:date:death:recovered:uuid,2,233484,0,Nan
153,DailyReport:Latest,confirmed:date:death:recovered:uuid,2,765,0,Nan
154,FromPatentTitle:Fragment,,1,26004,0,Nan
155,PatentAbstract,,1,19738,0,Nan
156,_PipelineLogRun,,1,7,0,Nan
157,BioSpecimen,,1,2,0,Nan
158,PatentClassificationCollection,,1,26292,0,Nan
159,MASYMOS_SBML_RULE,,1,4431,0,Nan
160,Fragment:FromAbstract,,1,778962,0,Nan
161,PatentNumber,,1,83391,0,Nan
162,ObservationPeriod,,1,4,0,Nan
163,StudyType,,1,3,0,Nan
164,Status,,1,12,0,Nan
165,MASYMOS_SBML_PARAMETER,,1,25224,0,Nan
166,Province,,1,758,0,Nan
167,Province,latitude:longitude:name,2,748,0,Nan
168,Province,name,2,10,0,Nan
169,MASYMOS_SBML_COMPARTMENT,,1,1234,0,Nan
170,GtexSample,,1,18363,0,Nan
171,Outcome,,1,35877,0,Nan
172,Outcome,description:name:?time,2,30858,0,Nan
173,Outcome,description:name:time,3,30857,0,Nan
174,Outcome,description:name,3,1,0,Nan
175,Outcome,name:time,2,5019,0,Nan
176,PatentCitationCollection,,1,16667,0,Nan
177,City,,1,3380,0,Nan
178,_Bloom_Perspective_,,1,1,0,Nan
179,BodyText,,1,1787931,0,Nan
180,ReferenceType,,1,2,0,Nan
181,Phase,,1,4,0,Nan
182,Abstract,,1,104323,0,Nan
183,ExclusionCriteria,,1,2461,0,Nan
184,Paper,,1,102304,0,Nan
185,Paper,_hash_id:cord19-fulltext_hash:cord_uid:publish_time:source:title:?journal:?url,2,44432,0,Nan
186,Paper,_hash_id:cord19-fulltext_hash:cord_uid:journal:publish_time:source:title:?url,3,41045,0,Nan
187,Paper,_hash_id:cord19-fulltext_hash:cord_uid:journal:publish_time:source:title,4,12800,0,Nan
188,Paper,_hash_id:cord19-fulltext_hash:cord_uid:journal:publish_time:source:title:url,4,28200,0,Nan
189,Paper,_hash_id:cord19-fulltext_hash:cord_uid:publish_time:source:title:?url,3,3387,0,Nan
190,Paper,_hash_id:cord19-fulltext_hash:cord_uid:publish_time:source:title,4,865,0,Nan
191,Paper,_hash_id:cord19-fulltext_hash:cord_uid:publish_time:source:title:url,4,2522,0,Nan
192,Paper,_hash_id:cord_uid:source:?journal:?publish_time:?title:?url,2,57872,0,Nan
193,Paper,_hash_id:cord_uid:journal:publish_time:source:title:url,3,7453,0,Nan
194,Citation,,1,1837232,0,Nan
195,Citation,_hash_id:end:start:text,2,1718230,0,Nan
196,Citation,:?_hash_id:?end:?mention:?name:?start:?text,2,118980,0,Nan
197,Citation,_hash_id:end:mention:start:?text,3,112410,0,Nan
198,Citation,_hash_id:end:mention:start:text,4,40500,0,Nan
199,Citation,_hash_id:end:mention:start,4,71800,0,Nan
200,Citation,name,3,6570,0,Nan
201,Completed,,1,2442,0,Nan
202,Sponsor,,1,2030,0,Nan
203,CooperativePatentClassification,,1,8970,0,Nan
204,PatentDescription,,1,10759,0,Nan
205,Keyword,,1,5819,0,Nan
206,BodyTextCollection,,1,47018,0,Nan
207,GtexDetailedTissue,,1,44,0,Nan
208,MASYMOS_SEDML_MODELREFERENCE,,1,35,0,Nan
209,StopReason,,1,187,0,Nan
210,Reference,,1,2123678,0,Nan
211,Reference,_hash_id:name:?issn:?pages:?ref_id:?title:?venue:?volume:?year,2,1763318,0,Nan
212,Reference,_hash_id:name:pages:title:venue:volume:?issn:?ref_id:?year,3,1234984,0,Nan
213,Reference,_hash_id:name:pages:ref_id:title:venue:volume:?issn:?year,4,1176659,0,Nan
214,OntologySubset,,1,41,0,Nan
215,MASYMOS_GlobalUniqueId,,1,1,0,Nan
216,PatentLiteratureCitation,,1,63716,0,Nan
217,PatentLiteratureCitation,_hash_id:lens_id,2,63715,0,Nan
218,PatentLiteratureCitation,_hash_id,2,1,0,Nan
219,MASYMOS_SEDML_VARIABLE,,1,492,0,Nan
220,MASYMOS_SEDML_VARIABLE,ID:TARGET,2,459,0,Nan
221,MASYMOS_SEDML_VARIABLE,ID,2,33,0,Nan
222,MASYMOS_CHEBIOntology,,1,124685,0,Nan
223,StudyIdentification,,1,4889,0,Nan
224,StudyIdentification,acronym:studyId,2,2090,0,Nan
225,StudyIdentification,studyId,2,2790,0,Nan
226,PatentFamily,,1,31987,0,Nan
227,MASYMOS_SEDML_TASK,,1,34,0,Nan
228,Fragment:FromPatentDescription,,1,5178900,0,Nan
229,InternationalPatentClassification,,1,4264,0,Nan
230,Transcript:Legacy,,1,361858,0,Nan
231,Location,,1,25101,0,Nan
232,Location,_hash_id:?addrLine:?country:?postBox:?postCode:?region:?settlement,2,18470,0,Nan
233,Arm,,1,2519,0,Nan
234,Arm,description:name,2,2234,0,Nan
235,Arm,name,2,285,0,Nan
236,Country,,1,403,0,Nan
237,Country,name:un_id,2,347,0,Nan
238,Country,name,2,56,0,Nan
239,Contact,,1,4218,0,Nan
240,_PipelineLogNode,,1,11,0,Nan
241,MASYMOS_SBOOntology,,1,525,0,Nan
242,PatentClaim,,1,31471,0,Nan
243,Ontology,,1,3,0,Nan
244,Design,,1,10,0,Nan
245,Design,description:model,2,4,0,Nan
246,Design,model,2,6,0,Nan
247,ACE2_SemSpect_neo4j_2022-02-25T11:14:25.566134:Gene mentioned in patent description_SemSpect_neo4j_2022-02-25T11:14:25.578116:Gene,,1,1,0,Nan
248,GtexTissue,,1,25,0,Nan
249,FromBodyText:Fragment,,1,10483270,0,Nan
