id,labels,properties,profondeur
159,Gene:?Gene mentioned in patent description_SemSpect_neo4j_2022-01-10T08:53:17.873201:?OmitLength:?OmitSpecialChar:?OmitWord,sid:source:taxid:type:?status,5
160,Gene,sid:source:taxid:?name:?type,4
161,Gene,sid:source,3
162,Gene,Feature_type:Full_name_from_nomenclature_authority:GeneID:LocusTag:Modification_date:Nomenclature_status:Other_designations:Symbol:Symbol_from_nomenclature_authority:Synonyms:chromosome:dbXrefs:description:map_location:sid:source:tax_id:taxid:type_of_gene,2
163,GtexTissue,,1
164,Province,,1
165,Province,latitude:longitude:name,2
166,Province,name,2
167,Collaborator,,1
168,MASYMOS_SEDML_DATAGENERATOR,,1
169,Contact,,1
170,MASYMOS_SEDML_TASK,,1
171,FromPatentAbstract:Fragment,,1
172,Responsible,,1
173,MASYMOS_PERSON,,1
174,Affiliation,,1
175,Status,,1
176,StudyPopulation,,1
177,FromPatentClaim:Fragment,,1
178,FromPatentDescription:Fragment,,1
179,FromBodyText:Fragment,,1
180,MASYMOS_RESOURCE,,1
181,Title,,1
182,ObservationPeriod,,1
183,MASYMOS_SEDML_CURVE,,1
184,MASYMOS_SEDML_CURVE,XDATA,2
185,MASYMOS_SEDML_CURVE,,2
186,MASYMOS_CHEBIOntology,,1
187,NonPatentLiteratureCitation,,1
188,_Bloom_Perspective_,,1
189,Gene:OmitLength:OmitWord,,1
190,CooperativePatentClassification,,1
191,PaperID,,1
192,Entity,,1
193,Metabolite,,1
194,Metabolite,alt_ids:name:ontology_id:sid:source,2
195,Metabolite,alt_ids:definition:name:ontology_id:sid:source,2
196,Ontology,,1
197,Ontology,IAO:0000700:date:http://purl.org/dc/elements/1.1/creator:http://purl.org/dc/elements/1.1/description:http://purl.org/dc/elements/1.1/title:http://purl.org/dc/terms/license:sid:version:?http://purl.org/dc/elements/1.1/contributor:?http://purl.org/dc/elements/1.1/language:?http://purl.org/dc/elements/1.1/rights:?http://purl.org/dc/elements/1.1/subject:?owl:versionInfo,2
198,Ontology,date:http://purl.org/dc/elements/1.1/description:http://purl.org/dc/elements/1.1/title:http://purl.org/dc/terms/license:sid:version:?IAO:0000700:?owl:versionInfo,2
199,MASYMOS_ANNOTATION,,1
200,MASYMOS_ANNOTATION,,2
201,MASYMOS_ANNOTATION,CREATED:MODIFIED,2
202,StudyType,,1
203,MASYMOS_SEDML_VARIABLE,,1
204,MASYMOS_SEDML_VARIABLE,ID:TARGET,2
205,MASYMOS_SEDML_VARIABLE,ID,2
206,Sponsor,,1
207,Gene:Legacy,,1
208,Gene:Legacy,date:sid:source:symbol:taxid,2
209,Gene:Legacy,date:sid:source:status:symbol:taxid:type,2
210,BodyTextCollection,,1
211,Word,,1
212,Word,match3:match4:match5:value:?match10:?match11:?match12:?match6:?match7:?match8:?match9,2
213,Word,match3:match4:match5:match6:match7:value:?match10:?match11:?match12:?match8:?match9,3
214,Word,match3:match4:match5:match6:match7:value:?match8:?match9,4
215,Word,match3:match4:match5:match6:match7:value,5
216,Word,match3:match4:match5:match6:match7:match8:value:?match9,5
217,Word,match3:match4:match5:match6:match7:match8:match9:value,6
218,Word,match3:match4:match5:match6:match7:match8:value,6
219,Word,match10:match3:match4:match5:match6:match7:match8:match9:value:?match11:?match12,4
220,Word,match10:match3:match4:match5:match6:match7:match8:match9:value,5
221,Word,match10:match11:match3:match4:match5:match6:match7:match8:match9:value:?match12,5
222,Word,match10:match11:match12:match3:match4:match5:match6:match7:match8:match9:value,6
223,Word,match10:match11:match3:match4:match5:match6:match7:match8:match9:value,6
224,Word,match3:match4:match5:value:?match6,3
225,Word,match3:match4:match5:match6:value,4
226,Word,match3:match4:match5:value,4
227,Word,match3:value:?match4,2
228,Word,match3:value,3
229,Word,match3:match4:value,3
230,Outcome,,1
231,Outcome,description:name:time,2
232,Outcome,name:?description:?time,2
233,Start,,1
234,SynonymTerm,,1
235,MASYMOS_SBML_SPECIES,,1
236,Term,,1
237,Term,alt_ids:definition:name:namespace:obsolete:sid,2
238,Term,alt_ids:name:obsolete:sid:?definition,2
239,Term,alt_ids:definition:name:obsolete:sid,3
240,Term,alt_ids:name:obsolete:sid,3
241,DailyReport:Latest,,1
242,Gene:ACE2_SemSpect_neo4j_2022-01-10T08:53:17.795229:Gene mentioned in patent description_SemSpect_neo4j_2022-01-10T08:53:17.873201,,1
